iter	Passed	Remaining
0	8	2489
1	12	1848
2	23	2293
3	35	2598
4	43	2569
5	54	2679
6	64	2703
7	73	2688
8	83	2715
9	92	2687
10	104	2739
11	107	2591
12	118	2626
13	128	2616
14	136	2591
15	146	2597
16	155	2593
17	165	2591
18	174	2574
19	182	2561
20	191	2548
21	205	2594
22	219	2643
23	228	2624
24	237	2612
25	246	2600
26	255	2580
27	269	2615
28	279	2616
29	288	2596
30	298	2591
31	307	2576
32	319	2582
33	329	2577
34	337	2557
35	352	2588
36	363	2584
37	372	2565
38	381	2553
39	390	2539
40	399	2525
41	408	2509
42	418	2501
43	428	2495
44	440	2493
45	449	2482
46	459	2471
47	468	2459
48	483	2476
49	498	2494
50	512	2503
51	522	2491
52	531	2477
53	546	2489
54	556	2476
55	564	2461
56	578	2466
57	591	2466
58	601	2456
59	613	2452
60	622	2440
61	632	2428
62	649	2443
63	662	2443
64	673	2435
65	682	2419
66	695	2417
67	704	2403
68	713	2389
69	723	2376
70	732	2362
71	746	2362
72	755	2349
73	764	2335
74	777	2332
75	788	2322
76	798	2313
77	809	2304
78	820	2295
79	829	2280
80	840	2271
81	849	2257
82	861	2251
83	871	2241
84	881	2229
85	894	2225
86	906	2218
87	914	2202
88	926	2197
89	938	2188
90	948	2178
91	962	2175
92	973	2167
93	983	2154
94	994	2145
95	1004	2134
96	1012	2119
97	1025	2114
98	1034	2100
99	1045	2090
100	1056	2081
101	1066	2070
102	1076	2059
103	1087	2048
104	1098	2039
105	1108	2027
106	1120	2020
107	1128	2005
108	1139	1996
109	1154	1993
110	1169	1990
111	1180	1981
112	1190	1969
113	1203	1962
114	1212	1950
115	1221	1937
116	1233	1929
117	1241	1915
118	1255	1909
119	1264	1897
120	1275	1886
121	1286	1876
122	1296	1866
123	1305	1853
124	1315	1842
125	1328	1834
126	1340	1825
127	1352	1817
128	1362	1805
129	1371	1793
130	1380	1781
131	1390	1769
132	1401	1760
133	1409	1746
134	1419	1734
135	1430	1724
136	1438	1711
137	1449	1701
138	1457	1688
139	1468	1678
140	1479	1668
141	1488	1656
142	1499	1646
143	1512	1638
144	1521	1626
145	1531	1615
146	1540	1602
147	1549	1591
148	1558	1579
149	1567	1567
150	1575	1554
151	1584	1542
152	1593	1531
153	1602	1519
154	1616	1512
155	1632	1506
156	1643	1496
157	1653	1486
158	1665	1476
159	1677	1467
160	1685	1455
161	1697	1445
162	1706	1434
163	1715	1422
164	1727	1413
165	1737	1402
166	1747	1391
167	1757	1380
168	1765	1368
169	1776	1358
170	1784	1346
171	1796	1336
172	1806	1325
173	1814	1314
174	1824	1303
175	1833	1291
176	1845	1282
177	1856	1272
178	1865	1260
179	1876	1250
180	1884	1238
181	1895	1228
182	1905	1218
183	1915	1207
184	1929	1199
185	1937	1187
186	1945	1175
187	1954	1164
188	1963	1153
189	1976	1144
190	1987	1134
191	1996	1123
192	2006	1112
193	2014	1100
194	2028	1092
195	2038	1081
196	2047	1070
197	2059	1060
198	2069	1050
199	2079	1039
200	2094	1031
201	2105	1021
202	2113	1009
203	2125	1000
204	2137	990
205	2146	979
206	2156	968
207	2167	958
208	2177	948
209	2188	937
210	2196	926
211	2206	916
212	2216	905
213	2226	894
214	2238	885
215	2247	874
216	2258	863
217	2273	855
218	2288	846
219	2303	837
220	2314	827
221	2329	818
222	2338	807
223	2347	796
224	2357	785
225	2368	775
226	2378	764
227	2387	753
228	2399	743
229	2407	732
230	2418	722
231	2430	712
232	2438	701
233	2450	691
234	2458	680
235	2468	669
236	2480	659
237	2489	648
238	2500	638
239	2509	627
240	2518	616
241	2531	606
242	2541	596
243	2551	585
244	2560	574
245	2569	563
246	2581	553
247	2589	543
248	2601	532
249	2610	522
250	2619	511
251	2633	501
252	2645	491
253	2655	480
254	2664	470
255	2675	459
256	2684	449
257	2693	438
258	2703	427
259	2712	417
260	2725	407
261	2736	396
262	2745	386
263	2754	375
264	2764	365
265	2777	355
266	2788	344
267	2796	333
268	2808	323
269	2820	313
270	2829	302
271	2841	292
272	2849	281
273	2860	271
274	2871	261
275	2880	250
276	2892	240
277	2904	229
278	2912	219
279	2922	208
280	2931	198
281	2941	187
282	2951	177
283	2961	166
284	2974	156
285	2991	146
286	3003	136
287	3012	125
288	3022	115
289	3030	104
290	3039	94
291	3052	83
292	3061	73
293	3071	62
294	3087	52
295	3103	41
296	3113	31
297	3130	21
298	3138	10
299	3152	0
