dataset,model,split,fold,auc_roc,auc_pr,accuracy,precision,recall,f1
borrower,random_forest,time_cv(pseudo_disb_date),0,0.8788095277768522,0.23720622166441369,0.9835581148658887,0.6666666666666666,0.04504504504504504,0.08438818565400844
borrower,random_forest,time_cv(pseudo_disb_date),1,0.9289345887939557,0.3785556207789503,0.9880284891650251,0.7894736842105263,0.08875739644970414,0.1595744680851064
borrower,random_forest,time_cv(pseudo_disb_date),2,0.9345578021299584,0.3100617445750754,0.9843158054250644,0.5294117647058824,0.0861244019138756,0.14814814814814814
borrower,random_forest,time_cv(pseudo_disb_date),mean,0.9141006395669221,0.3086078623394798,0.9853008031519926,0.6618507051943584,0.07330894780287493,0.13070360062908767
borrower,xgboost,time_cv(pseudo_disb_date),0,0.9184537496806301,0.43793632566889923,0.9839369601454766,0.5252525252525253,0.46846846846846846,0.49523809523809526
borrower,xgboost,time_cv(pseudo_disb_date),1,0.9644659319379026,0.5278293634787853,0.9878769510531898,0.5219512195121951,0.6331360946745562,0.5721925133689839
borrower,xgboost,time_cv(pseudo_disb_date),2,0.9389741264323401,0.34473146624512874,0.9769662070010607,0.34726688102893893,0.5167464114832536,0.4153846153846154
borrower,xgboost,time_cv(pseudo_disb_date),mean,0.9406312693502908,0.4368323851309377,0.9829267060665757,0.46482354193121983,0.5394503248754261,0.4942717413305649
borrower,lightgbm,time_cv(pseudo_disb_date),0,0.9219968465691338,0.4680536671363776,0.9869677223821791,0.6865671641791045,0.4144144144144144,0.5168539325842697
borrower,lightgbm,time_cv(pseudo_disb_date),1,0.9646278374913314,0.5605854780361421,0.989240794059706,0.5692307692307692,0.6568047337278107,0.6098901098901099
borrower,lightgbm,time_cv(pseudo_disb_date),2,0.9416219318444279,0.46296784670904456,0.9809061979087741,0.4245614035087719,0.5789473684210527,0.4898785425101215
borrower,lightgbm,time_cv(pseudo_disb_date),mean,0.9427488719682978,0.49720233062718805,0.9857049047835531,0.5601197789728819,0.5500555055210926,0.5388741949948337
borrower,catboost,time_cv(pseudo_disb_date),0,0.9053080322924651,0.4638038977405584,0.9849219578724049,0.7017543859649122,0.18018018018018017,0.2867383512544803
borrower,catboost,time_cv(pseudo_disb_date),1,0.9562443997255101,0.4994228819973002,0.9890892559478709,0.6288659793814433,0.3609467455621302,0.45864661654135336
borrower,catboost,time_cv(pseudo_disb_date),2,0.9396215273799949,0.46451035477773556,0.9860584937111684,0.6811594202898551,0.22488038277511962,0.3381294964028777
borrower,catboost,time_cv(pseudo_disb_date),mean,0.9337246531326567,0.47591237817186477,0.9866899025104813,0.6705932618787368,0.25533576950581,0.3611714880662371
