dataset,model,split,fold,auc_roc,auc_pr,accuracy,precision,recall,f1
full,random_forest,time_cv(pseudo_disb_date),0,0.9230669093878096,0.3120230281362837,0.9835581148658887,0.6923076923076923,0.04054054054054054,0.07659574468085106
full,random_forest,time_cv(pseudo_disb_date),1,0.9356887525824277,0.39829814215532167,0.9884073344446128,0.8076923076923077,0.1242603550295858,0.2153846153846154
full,random_forest,time_cv(pseudo_disb_date),2,0.939335123831317,0.42890152826986727,0.9851492650401577,0.782608695652174,0.0861244019138756,0.15517241379310345
full,random_forest,time_cv(pseudo_disb_date),mean,0.9326969286005181,0.3797408995204909,0.9857049047835531,0.7608695652173912,0.08364176582800065,0.1490509246195233
full,xgboost,time_cv(pseudo_disb_date),0,0.9594179760833583,0.5934367374182445,0.9859069555993333,0.5891089108910891,0.536036036036036,0.5613207547169812
full,xgboost,time_cv(pseudo_disb_date),1,0.9771047835483976,0.6788307358233345,0.9890892559478709,0.5570776255707762,0.7218934911242604,0.6288659793814433
full,xgboost,time_cv(pseudo_disb_date),2,0.9644819079522937,0.5453768229003323,0.9818911956357024,0.44565217391304346,0.5885167464114832,0.5072164948453608
full,xgboost,time_cv(pseudo_disb_date),mean,0.96700155586135,0.6058814320473038,0.9856291357276356,0.5306129034583029,0.6154820911905933,0.5658010763145951
full,lightgbm,time_cv(pseudo_disb_date),0,0.9677328762177714,0.6729264501062093,0.9889377178360358,0.7602739726027398,0.5,0.6032608695652174
full,lightgbm,time_cv(pseudo_disb_date),1,0.9840989672106057,0.7729037471299643,0.9914380966813153,0.6443298969072165,0.7396449704142012,0.6887052341597796
full,lightgbm,time_cv(pseudo_disb_date),2,0.9700889711242602,0.6357069193170716,0.9860584937111684,0.5527426160337553,0.6267942583732058,0.5874439461883408
full,lightgbm,time_cv(pseudo_disb_date),mean,0.9739736048508791,0.6938457055177484,0.9888114360761732,0.6524488285145705,0.6221464095958024,0.6264700166377793
full,catboost,time_cv(pseudo_disb_date),0,0.947487252974306,0.5264847735665172,0.9862100318230035,0.9,0.20270270270270271,0.33088235294117646
full,catboost,time_cv(pseudo_disb_date),1,0.9784617927872326,0.6520459259011426,0.9912865585694802,0.875,0.3727810650887574,0.5228215767634855
full,catboost,time_cv(pseudo_disb_date),2,0.956785296060229,0.6017864488841383,0.9890892559478709,0.9012345679012346,0.3492822966507177,0.503448275862069
full,catboost,time_cv(pseudo_disb_date),mean,0.9609114472739225,0.5934390494505993,0.9888619487801181,0.8920781893004115,0.30825535481405925,0.4523840685222436
