ID,country_id,tbl_loan_id,lender_id,loan_type,Total_Amount,Total_Amount_to_Repay,duration,New_versus_Repeat,Amount_Funded_By_Lender,Lender_portion_Funded,Lender_portion_to_be_repaid,disb_month,disb_dow,disb_is_weekend,due_month,due_dow,due_is_weekend,target
ID_259881226924267278,Kenya,226924.0,267278.0,Type_1,2849.0,2849.0,7,0,854.7,0.3,855.0,7,3,0,8,3,0,0
ID_263624287450267278,Kenya,287450.0,267278.0,Type_1,2808.0,2910.0,7,0,0.0,0.0,0.0,10,0,0,10,0,0,0
ID_259238252056267278,Kenya,252056.0,267278.0,Type_1,11100.0,11100.0,7,0,0.0,0.0,0.0,9,0,0,9,0,0,0
ID_253174249553267278,Kenya,249553.0,267278.0,Type_1,3028.0,3029.0,7,0,0.0,0.0,0.0,9,3,0,9,3,0,0
ID_259835268995251804,Kenya,268995.0,251804.0,Type_10,6446.0,6543.0,3,0,1718.0,0.266521874030406,1744.0,9,1,0,9,4,0,0
ID_256077214626267278,Kenya,214626.0,267278.0,Type_1,16833.0,16933.0,7,0,5049.9,0.3,5080.0,7,2,0,7,2,0,0
ID_251134222219267278,Kenya,222219.0,267278.0,Type_1,10298.0,10773.0,7,0,3089.4,0.3,3232.0,7,4,0,7,4,0,0
ID_266615222878267278,Kenya,222878.0,267278.0,Type_1,5199.0,5199.0,7,0,1559.7,0.3,1560.0,7,5,1,7,5,1,0
ID_260067240591267278,Kenya,240591.0,267278.0,Type_1,1605.0,1605.0,7,0,237.58,0.14802492211838,238.0,8,5,1,8,5,1,0
ID_242187231808267278,Kenya,231808.0,267278.0,Type_1,5249.0,5345.0,7,0,1574.7,0.3,1604.0,8,3,0,8,3,0,0
ID_245353291576267278,Kenya,291576.0,267278.0,Type_1,8232.0,8282.0,7,0,2469.6,0.3,2485.0,10,0,0,11,0,0,0
ID_270004257795267278,Kenya,257795.0,267278.0,Type_1,4699.0,4852.0,7,0,1392.71,0.296384337092998,1438.0,9,0,0,9,0,0,0
ID_242487298494267278,Kenya,298494.0,267278.0,Type_1,1686.0,1722.0,7,0,505.8,0.3,517.0,11,0,0,11,0,0,0
ID_259768294759267278,Kenya,294759.0,267278.0,Type_1,11053.0,11391.0,7,0,533.23,0.0482430109472541,550.0,11,5,1,11,5,1,0
ID_241346301976267278,Kenya,301976.0,267278.0,Type_1,6679.0,6679.0,7,0,2003.7,0.3,2004.0,11,0,0,11,0,0,0
ID_245243283895267278,Kenya,283895.0,267278.0,Type_1,3878.0,3906.0,7,0,1085.0,0.279783393501805,1093.0,10,1,0,10,1,0,0
ID_257011254390267278,Kenya,254390.0,267278.0,Type_1,7347.0,7347.0,7,0,2204.1,0.3,2204.0,9,3,0,9,3,0,0
ID_246141286121267278,Kenya,286121.0,267278.0,Type_1,4949.0,4949.0,7,0,1484.7,0.3,1485.0,10,5,1,10,5,1,0
ID_257919265151267278,Kenya,265151.0,267278.0,Type_1,2360.0,2360.0,7,0,0.0,0.0,0.0,9,3,0,9,3,0,0
ID_252103255990267278,Kenya,255990.0,267278.0,Type_1,6898.0,6940.0,7,0,2069.4,0.3,2082.0,9,5,1,9,5,1,0
ID_265986231366267278,Kenya,231366.0,267278.0,Type_1,2999.0,2999.0,7,0,899.7,0.3,900.0,8,2,0,8,2,0,0
ID_246187233911267278,Kenya,233911.0,267278.0,Type_1,8196.0,8445.0,7,0,2458.8,0.3,2534.0,8,2,0,8,2,0,0
ID_261232262457267278,Kenya,262457.0,267278.0,Type_1,11819.0,11819.0,7,0,3545.7,0.3,3546.0,9,0,0,9,0,0,0
ID_265830230361267278,Kenya,230361.0,267278.0,Type_1,1529.0,1540.0,7,0,458.7,0.3,462.0,8,1,0,8,1,0,0
ID_262388279971267278,Kenya,279971.0,267278.0,Type_1,1218.0,1256.0,7,0,365.4,0.3,377.0,10,2,0,10,2,0,0
ID_247304228459267278,Kenya,228459.0,267278.0,Type_1,2594.0,2594.0,7,0,778.2,0.3,778.0,7,5,1,8,5,1,0
ID_257361282086267278,Kenya,282086.0,267278.0,Type_1,4865.0,4899.0,7,0,1459.5,0.3,1470.0,10,5,1,10,5,1,0
ID_252003226100267278,Kenya,226100.0,267278.0,Type_1,7484.0,7621.0,7,0,2245.2,0.3,2286.0,7,2,0,8,2,0,0
ID_260948268100267278,Kenya,268100.0,267278.0,Type_1,2000.0,2000.0,7,0,0.0,0.0,0.0,9,0,0,10,0,0,0
ID_254227279942267278,Kenya,279942.0,267278.0,Type_1,42544.0,42544.0,7,0,12763.2,0.3,12763.0,10,2,0,10,2,0,0
ID_258159271773267278,Kenya,271773.0,267278.0,Type_1,2355.0,2372.0,7,0,706.5,0.3,712.0,10,5,1,10,5,1,0
ID_249046230070267278,Kenya,230070.0,267278.0,Type_1,99688.0,102207.0,7,0,29906.4,0.3,30662.0,8,0,0,8,0,0,0
ID_262733264184267278,Kenya,264184.0,267278.0,Type_1,9357.0,9644.0,7,0,1628.0,0.173987389120444,1678.0,9,2,0,9,2,0,0
ID_246839233239267278,Kenya,233239.0,267278.0,Type_1,21043.0,21043.0,7,0,6312.9,0.3,6313.0,8,0,0,8,0,0,0
ID_312651374482267278,Kenya,374482.0,267278.0,Type_7,5000.0,5176.0,7,0,1000.0,0.2,1035.0,11,5,1,11,5,1,0
ID_259807255552267278,Kenya,255552.0,267278.0,Type_1,3148.0,3148.0,7,0,215.25,0.0683767471410419,215.0,9,4,0,9,4,0,0
ID_250259225127267278,Kenya,225127.0,267278.0,Type_1,1699.0,1707.0,7,0,509.7,0.3,512.0,7,1,0,8,1,0,0
ID_268704295526267278,Kenya,295526.0,267278.0,Type_1,1597.0,1657.0,7,0,479.1,0.3,497.0,11,1,0,11,1,0,0
ID_254179263570267278,Kenya,263570.0,267278.0,Type_1,12598.0,12598.0,7,0,1.5,0.0001190665184949,2.0,9,1,0,9,1,0,0
ID_250225240505267278,Kenya,240505.0,267278.0,Type_1,17455.0,17666.0,7,0,5236.5,0.3,5300.0,8,5,1,8,5,1,0
ID_264539257926267278,Kenya,257926.0,267278.0,Type_1,1010.0,1010.0,7,0,0.0,0.0,0.0,9,0,0,9,0,0,0
ID_259560298838267278,Kenya,298838.0,267278.0,Type_1,30145.0,31063.0,7,0,0.0,0.0,0.0,11,0,0,11,0,0,0
ID_254312229268267278,Kenya,229268.0,267278.0,Type_1,2849.0,2869.0,7,0,854.7,0.3,861.0,8,0,0,8,0,0,0
ID_249597241395267278,Kenya,241395.0,267278.0,Type_1,14928.0,15184.0,7,0,4478.4,0.3,4555.0,8,5,1,8,5,1,0
ID_267260217763267278,Kenya,217763.0,267278.0,Type_1,1642.0,1668.0,7,0,492.6,0.3,500.0,7,5,1,7,5,1,0
ID_267300257129267278,Kenya,257129.0,267278.0,Type_1,9326.0,9457.0,7,0,2797.8,0.3,2837.0,9,0,0,9,0,0,0
ID_256453268420267278,Kenya,268420.0,267278.0,Type_1,4564.0,4615.0,7,0,1369.2,0.3,1385.0,9,1,0,10,1,0,0
ID_259765245526267278,Kenya,245526.0,267278.0,Type_1,9034.0,9034.0,7,0,10.5,0.0011622758468009,11.0,8,5,1,9,5,1,0
ID_254783247783267278,Kenya,247783.0,267278.0,Type_1,4826.0,4826.0,7,0,1447.8,0.3,1448.0,8,1,0,9,1,0,0
ID_253500223239267278,Kenya,223239.0,267278.0,Type_1,9458.0,9748.0,7,0,2837.4,0.3,2924.0,7,5,1,7,5,1,0
ID_12897265999267278,Kenya,265999.0,267278.0,Type_1,6699.0,6699.0,7,0,2009.7,0.3,2010.0,9,4,0,9,4,0,0
ID_267252284100267278,Kenya,284100.0,267278.0,Type_1,21990.0,22002.0,7,0,6597.0,0.3,6601.0,10,1,0,10,1,0,0
ID_248255259217267278,Kenya,259217.0,267278.0,Type_1,28400.0,29796.0,7,0,0.0,0.0,0.0,9,2,0,9,2,0,0
ID_252690301141267278,Kenya,301141.0,267278.0,Type_1,2660.0,2698.0,7,0,798.0,0.3,809.0,11,4,0,11,4,0,0
ID_254003249766267278,Kenya,249766.0,267278.0,Type_1,4699.0,4868.0,7,0,1409.7,0.3,1460.0,9,4,0,9,4,0,0
ID_262627245608267278,Kenya,245608.0,267278.0,Type_1,6249.0,6249.0,7,0,0.0,0.0,0.0,8,5,1,9,5,1,0
ID_259197299719267278,Kenya,299719.0,267278.0,Type_1,15028.0,15119.0,7,0,4508.4,0.3,4536.0,11,2,0,11,2,0,0
ID_254897241296267278,Kenya,241296.0,267278.0,Type_1,2868.0,2906.0,7,0,0.0,0.0,0.0,8,5,1,8,5,1,0
ID_252063246509267278,Kenya,246509.0,267278.0,Type_1,5918.0,5918.0,7,0,1775.4,0.3,1775.0,8,0,0,9,0,0,0
ID_248135360470251804,Kenya,360470.0,251804.0,Type_7,16834.0,17171.0,7,0,3156.0,0.187477723654508,3219.0,11,4,0,11,4,0,0
